GAME_DATE_EST,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,PTS
2014-11-02,21400042,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,30:50:00,6,18,0.333,1,5,0.2,21
2014-11-01,21400038,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,34:06:00,10,19,0.526,3,8,0.375,31
2014-10-29,21400014,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,36:32:00,7,17,0.412,2,9,0.222,24
2014-10-24,11400117,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,34:22:00,5,15,0.333,3,7,0.429,17
2014-10-21,11400096,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,30:51:00,9,13,0.692,4,5,0.8,27
2014-10-17,11400071,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,32:18:00,2,10,0.2,1,7,0.143,7
2014-10-16,11400063,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,17:27,5,9,0.556,3,3,1,13
2014-10-12,11400042,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,23:30,8,11,0.727,4,7,0.571,25
2014-10-09,11400026,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,27:27:00,6,9,0.667,3,4,0.75,20
2014-10-07,11400015,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,18:18,2,7,0.286,0,2,0,12
2014-05-03,41300167,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,45:50:00,7,17,0.412,3,7,0.429,33
2014-05-01,41300166,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,45:29:00,9,24,0.375,2,8,0.25,24
2014-04-29,41300165,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,43:42:00,5,10,0.5,4,7,0.571,17
2014-04-27,41300164,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,42:23:00,10,20,0.5,7,14,0.5,33
2014-04-24,41300163,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,43:25:00,5,12,0.417,3,8,0.375,16
2014-04-21,41300162,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,31:00:00,9,17,0.529,1,7,0.143,24
2014-04-19,41300161,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,44:39:00,6,16,0.375,2,6,0.333,14
2014-04-14,21301213,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,41:57:00,10,21,0.476,7,13,0.538,32
2014-04-13,21301201,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,45:26:00,16,29,0.552,7,14,0.5,47
2014-04-11,21301188,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,34:43:00,12,20,0.6,4,5,0.8,30
2014-04-10,21301175,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,33:32:00,8,19,0.421,2,7,0.286,24
2014-04-06,21301155,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,29:28:00,12,18,0.667,5,10,0.5,31
2014-04-04,21301141,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,28:33:00,5,12,0.417,2,5,0.4,13
2014-04-02,21301123,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,30:43:00,5,15,0.333,1,4,0.25,11
2014-04-01,21301112,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,43:07:00,10,17,0.588,3,8,0.375,23
2014-03-30,21301098,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,40:46:00,10,21,0.476,6,12,0.5,32
2014-03-28,21301086,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:03:00,13,22,0.591,5,8,0.625,33
2014-03-22,21301038,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,39:25:00,5,13,0.385,1,4,0.25,20
2014-03-20,21301021,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:04:00,9,14,0.643,3,5,0.6,31
2014-03-18,21301007,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,31:46:00,9,13,0.692,3,6,0.5,23
2014-03-16,21300994,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,40:08:00,11,24,0.458,6,12,0.5,37
2014-03-14,21300980,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,36:01:00,8,17,0.471,5,10,0.5,27
2014-03-12,21300967,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,29:18:00,5,11,0.455,2,5,0.4,13
2014-03-11,21300956,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,22:17,4,12,0.333,1,5,0.2,10
2014-03-09,21300942,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,30:16:00,7,16,0.438,1,5,0.2,18
2014-03-07,21300927,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,30:02:00,5,10,0.5,1,4,0.25,13
2014-03-05,21300907,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,21:51,6,10,0.6,1,4,0.25,14
2014-03-04,21300899,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,31:59:00,7,18,0.389,2,5,0.4,19
2014-03-02,21300884,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,43:12:00,13,27,0.481,4,11,0.364,34
2014-02-28,21300869,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,30:18:00,9,19,0.474,5,11,0.455,27
2014-02-26,21300855,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,28:19:00,2,10,0.2,1,5,0.2,5
2014-02-24,21300842,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,35:44:00,6,15,0.4,3,9,0.333,19
2014-02-22,21300832,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,31:58:00,7,13,0.538,3,4,0.75,17
2014-02-20,21300814,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:26:00,8,15,0.533,5,8,0.625,25
2014-02-19,21300810,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,35:51:00,5,14,0.357,1,4,0.25,13
2014-02-12,21300788,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,39:13:00,8,14,0.571,4,4,1,29
2014-02-10,21300769,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,27:17:00,7,11,0.636,6,9,0.667,23
2014-02-08,21300754,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,41:09:00,10,20,0.5,3,10,0.3,28
2014-02-06,21300738,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,42:45:00,13,19,0.684,4,6,0.667,34
